地点ID,地点名,x軸,y軸,地点所有者,レベル,所有マナ,戦闘時間,PAtk,MAtk,PDef,MDef,Lead,Agi,背景名,隣接地点,,,,
85,フラン平原,15.49,4.54,7,3,3000,15,0,0,0,0,0,0,326_bg_grassG,84,,,,
86,ペトロパブロフスク街道東,-0.43,1.83,7,2,3000,15,10,10,0,0,0,0,337_bg_roadG,80,87,,,
87,ペトロパブロフスク街道西,-4.15,1.78,7,2,3000,15,10,10,0,0,0,0,337_bg_roadG,86,88,,,
88,マジノライン南,-8.35,1.61,7,3,3000,15,0,0,30,30,30,0,339_bg_maginoline,87,94,95,,
89,モスクの森北,-0.04,4.03,7,2,3000,15,-10,-10,0,0,0,-10,318_bg_forestG,80,90,,,
90,モスクの森南,-2.78,3.35,7,2,3000,15,-10,-10,0,0,0,-10,318_bg_forestG,89,91,,,
91,エカテリーナ要塞,-3.68,4.15,7,3,3000,15,0,0,20,20,30,0,330_bg_barrier,90,92,,,
92,ラボ―チキン平原,-5.58,3.78,7,3,3000,15,0,0,0,0,0,0,326_bg_grassG,91,93,,,
93,マジノライン北,-6.86,3.27,7,3,3000,15,0,0,30,30,30,0,339_bg_maginoline,92,94,,,
94,マジノライン中央,-8.05,2.83,7,3,3000,15,0,0,30,30,30,0,339_bg_maginoline,88,93,101,,
95,ペテルブルク要塞,-9.86,-1.88,7,3,3000,15,0,0,20,20,30,0,330_bg_barrier,88,96,,,
96,スゴールの森,-8.89,-2.73,7,2,3000,15,-10,-10,0,0,0,-10,318_bg_forestG,95,97,,,
97,イリヤ平原,-12.23,-2.3,7,3,3000,15,0,0,0,0,0,0,326_bg_grassG,96,98,,,
98,ソユーズの街,-14.54,-2.9,7,2,3000,15,0,0,10,10,10,0,329_bg_town,97,99,,,
99,スプートニック街道,-14.2,-1.56,7,3,3000,15,10,10,0,0,0,0,337_bg_roadG,98,100,,,
100,スターリングラッドの森,-13.83,0.23,7,2,3000,15,-10,-10,0,0,0,-10,318_bg_forestG,99,101,,,
101,スターリングラッド要塞南,-13.02,1.21,7,3,3000,15,0,0,20,20,30,0,330_bg_barrier,94,100,102,104,
102,スターリングラッド要塞西,-16.08,2.49,7,3,3000,15,0,0,20,20,30,0,330_bg_barrier,101,103,104,,
103,スターリングラッド要塞北,-13.71,3.74,7,3,3000,15,0,0,20,20,30,0,330_bg_barrier,102,104,,,
104,ヴェロニカ宮,-12.56,2.8,7,3,101,15,0,0,0,0,0,0,301_bg_veronicaB,102,103,,,
